second;src;dst;packetcount;src_ratio;dst_ratio;src_duration_ratio;dst_duration_ratio;TotalPacketDuration;TotalPacketLenght;src_packet_ratio;dst_packet_ratio;DioCount;DisCount;DaoCount;OtherMsg;label
60.0;35;40;13;0.06878307;0.06878307;0.12098376;0.12098376;0.07900238037109375;988;0.06878307;0.06878307;0;0;13;0;0
60.0;39;29;70;0.37037036;0.37037036;0.4196051;0.4196051;0.2740020751953125;5320;0.37037036;0.37037036;0;0;70;0;0
60.0;40;28;69;0.36507937;0.36507937;0.29709077;0.29709077;0.194000244140625;5244;0.36507937;0.36507937;0;0;69;0;0
60.0;28;30;37;0.1957672;0.1957672;0.16232036;0.16232036;0.10599517822265625;2812;0.1957672;0.1957672;0;0;37;0;0
61.0;28;30;24;0.09486166;0.09486166;0.119453184;0.119453184;0.10499954223632812;1824;0.08344389;0.08344389;0;0;24;0;0
61.0;39;29;34;0.13438736;0.13438736;0.007967886;0.007967886;0.0070037841796875;2584;0.11821218;0.11821218;0;0;34;0;0
61.0;30;27;21;0.08300395;0.08300395;0.005685147;0.005685147;0.00499725341796875;1596;0.0730134;0.0730134;0;0;21;0;0
61.0;27;26;24;0.09486166;0.09486166;0.12400564;0.12400564;0.10900115966796875;1824;0.08344389;0.08344389;0;0;24;0;0
61.0;26;24;23;0.09090909;0.09090909;0.104663126;0.104663126;0.09199905395507812;1748;0.07996706;0.07996706;0;0;23;0;0
61.0;24;25;29;0.11462451;0.11462451;0.11262667;0.11262667;0.0989990234375;2204;0.10082804;0.10082804;0;0;29;0;0
61.0;25;21;1;0.0039525693;0.0039525693;0.0;0.0;0.0;76;0.0034768288;0.0034768288;0;0;1;0;0
61.0;13;0;97;0.38339922;0.38339922;0.52559835;0.52559835;0.4620018005371094;10003;0.45761472;0.45761472;0;0;0;97;0
62.0;13;0;138;0.50549453;0.50549453;0.36878014;0.36878014;0.31899261474609375;14628;0.57371455;0.57371455;0;0;0;235;0
62.0;29;30;38;0.13919415;0.13919415;0.1271692;0.1271692;0.1100006103515625;2888;0.11326823;0.11326823;0;0;38;0;0
62.0;37;42;29;0.10622711;0.10622711;0.34914201;0.34914201;0.3020057678222656;2813;0.11032671;0.11032671;29;0;0;0;0
62.0;30;27;19;0.06959707;0.06959707;0.0057772114;0.0057772114;0.00499725341796875;1444;0.056634113;0.056634113;0;0;19;0;0
62.0;27;26;25;0.09157509;0.09157509;0.028903697;0.028903697;0.02500152587890625;1900;0.07451857;0.07451857;0;0;25;0;0
62.0;26;24;23;0.08424909;0.08424909;0.0069326535;0.0069326535;0.0059967041015625;1748;0.06855708;0.06855708;0;0;23;0;0
