second;src;dst;packetcount;src_ratio;dst_ratio;src_duration_ratio;dst_duration_ratio;TotalPacketDuration;TotalPacketLenght;src_packet_ratio;dst_packet_ratio;DioCount;DisCount;DaoCount;OtherMsg;label
60.0;14;0;57;1.0;1.0;1.0;1.0;0.15399932861328125;5898;1.0;1.0;0;0;0;57;1
61.0;37;22;11;0.275;0.275;0.46042594;0.46042594;0.06399917602539062;1122;0.28513342;0.28513342;11;0;0;0;1
61.0;10;0;29;0.725;0.725;0.5395741;0.5395741;0.07500076293945312;2813;0.7148666;0.7148666;0;0;0;29;1
62.0;39;36;29;0.37179488;0.37179488;0.30482358;0.30482358;0.13899993896484375;2958;0.37315503;0.37315503;29;0;0;0;1
62.0;5;0;32;0.41025642;0.6282051;0.32894978;0.6951764;0.15000152587890625;3320;0.41882175;0.62684494;0;0;0;32;1
62.0;16;0;17;0.21794872;0.6282051;0.36622664;0.6951764;0.16699981689453125;1649;0.2080232;0.62684494;0;0;0;17;1
63.0;16;0;15;0.1171875;0.96875;0.0069944994;0.88671684;0.005001068115234375;1455;0.109769896;0.96921915;0;0;0;32;1
63.0;17;0;109;0.8515625;0.96875;0.87972236;0.88671684;0.6290016174316406;11392;0.85944927;0.96921915;0;0;0;109;1
63.0;34;25;4;0.03125;0.03125;0.11328315;0.11328315;0.08099746704101562;408;0.030780837;0.030780837;4;0;0;0;1
64.0;34;25;7;1.0;1.0;1.0;1.0;0.00200653076171875;714;1.0;1.0;7;0;0;0;1
65.0;3;0;33;1.0;1.0;1.0;1.0;0.1399993896484375;3210;1.0;1.0;0;0;0;33;1
66.0;11;0;32;1.0;1.0;1.0;1.0;1.1279983520507812;3257;1.0;1.0;0;0;0;32;1
67.0;12;0;25;0.46296296;0.46296296;0.1797633;0.1797633;0.13500213623046875;2425;0.46296296;0.46296296;0;0;0;25;1
67.0;36;42;29;0.537037;0.537037;0.8202367;0.8202367;0.615997314453125;2813;0.537037;0.537037;29;0;0;0;1
68.0;37;42;29;0.6904762;0.6904762;0.98210716;0.98210716;0.1649932861328125;2813;0.6796328;0.6796328;29;0;0;0;1
68.0;32;36;13;0.30952382;0.30952382;0.017892824;0.017892824;0.0030059814453125;1326;0.32036725;0.32036725;13;0;0;0;1
70.0;40;21;1;1.0;1.0;1.0;1.0;0.05899810791015625;102;1.0;1.0;1;0;0;0;1
71.0;28;42;29;1.0;0.61702126;1.0;0.9746652;0.23099517822265625;2813;1.0;0.6050764;29;0;0;0;1
71.0;28;30;18;1.0;0.38297874;1.0;0.025334792;0.00600433349609375;1836;1.0;0.39492363;18;0;0;0;1
72.0;24;26;2;0.13043478;0.014492754;0.4579036;0.119526826;0.0709991455078125;204;0.14256719;0.016562475;2;0;0;0;1
72.0;22;37;21;0.1521739;0.1521739;0.14310852;0.14310852;0.0850067138671875;2142;0.17390598;0.17390598;21;0;0;0;1
72.0;30;28;19;0.2173913;0.13768116;0.19359852;0.0100954315;0.0059967041015625;1444;0.20832995;0.11723634;0;0;19;0;1
72.0;34;42;29;0.21014492;0.32608697;0.021886278;0.36026305;0.01300048828125;2813;0.22838354;0.35438824;29;0;0;0;1
72.0;28;39;2;0.014492754;0.014492754;0.001682572;0.001682572;0.00099945068359375;152;0.012340668;0.012340668;0;0;2;0;1
72.0;39;41;38;0.2753623;0.2753623;0.18182051;0.18182051;0.108001708984375;2888;0.23447268;0.23447268;0;0;38;0;1
72.0;30;27;11;0.2173913;0.07971015;0.19359852;0.18350309;0.10900115966796875;1122;0.20832995;0.09109361;11;0;0;0;1
72.0;24;42;16;0.13043478;0.32608697;0.4579036;0.36026305;0.20099639892578125;1552;0.14256719;0.35438824;16;0;0;0;1
73.0;24;42;13;0.09154929;0.5;0.0034890445;0.112373814;0.00400543212890625;1261;0.097494975;0.53247255;13;0;0;0;1
73.0;39;41;18;0.12676056;0.12676056;0.094071284;0.094071284;0.10799407958984375;1368;0.10576774;0.10576774;0;0;18;0;1
73.0;41;21;2;0.21830986;0.014084507;0.54964745;0.44948196;0.5160064697265625;152;0.22924076;0.011751971;0;0;2;0;1
73.0;1;0;31;0.21830986;0.21830986;0.16201793;0.16201793;0.18599700927734375;3007;0.23248802;0.23248802;0;0;0;31;1
73.0;41;42;29;0.21830986;0.5;0.54964745;0.112373814;0.114990234375;2813;0.22924076;0.53247255;29;0;0;0;1
73.0;26;42;29;0.34507042;0.5;0.1907743;0.112373814;0.010009765625;2813;0.3350085;0.53247255;29;0;0;0;1
73.0;26;24;20;0.34507042;0.14084508;0.1907743;0.18205501;0.2089996337890625;1520;0.3350085;0.117519714;0;0;20;0;1
74.0;26;24;8;0.057142857;0.057142857;0.0027085142;0.0027085142;0.0019989013671875;608;0.04705154;0.04705154;0;0;8;0;1
