second;src;dst;packetcount;src_ratio;dst_ratio;src_duration_ratio;dst_duration_ratio;TotalPacketDuration;TotalPacketLenght;src_packet_ratio;dst_packet_ratio;DioCount;DisCount;DaoCount;OtherMsg;label
60.0;8;11;58;0.19931272;0.19931272;0.12324364;0.12324364;0.12299728393554688;5916;0.22820552;0.22820552;58;0;0;0;0
60.0;9;14;29;0.20274915;0.09965636;0.10621512;0.007017812;0.0070037841796875;2958;0.22635396;0.11410276;29;0;0;0;0
60.0;6;0;76;0.2611684;0.2611684;0.2625258;0.2625258;0.26200103759765625;5776;0.22280513;0.22280513;0;0;76;0;0
60.0;13;21;39;0.13402061;0.34020618;0.0971944;0.5010015;0.0970001220703125;2496;0.09628144;0.32078382;0;39;0;39;0
60.0;9;21;30;0.20274915;0.34020618;0.10621512;0.5010015;0.0989990234375;2910;0.22635396;0.32078382;30;0;0;0;0
60.0;20;9;29;0.20274915;0.09965636;0.41082105;0.1062113;0.10599899291992188;2958;0.22635396;0.11410276;29;0;0;0;0
60.0;20;21;30;0.20274915;0.34020618;0.41082105;0.5010015;0.3040008544921875;2910;0.22635396;0.32078382;30;0;0;0;0
61.0;5;21;30;0.24822696;0.81560284;0.31190595;0.9023801;0.18600082397460938;2910;0.27316293;0.7881789;30;0;0;0;0
61.0;17;21;39;0.27659574;0.81560284;0.3488086;0.9023801;0.292999267578125;2496;0.19936103;0.7881789;0;39;0;39;0
61.0;5;9;5;0.24822696;0.18439716;0.31190595;0.0976199;0.07600021362304688;510;0.27316293;0.21182108;5;0;0;0;0
61.0;14;21;30;0.21276596;0.81560284;0.2226148;0.9023801;0.1869964599609375;2910;0.23242812;0.7881789;30;0;0;0;0
61.0;20;9;21;0.14893617;0.18439716;0.0071434733;0.0976199;0.006000518798828125;2142;0.17108627;0.21182108;21;0;0;0;0
61.0;6;21;16;0.11347517;0.81560284;0.10952721;0.9023801;0.09200286865234375;1552;0.123961665;0.7881789;16;0;0;0;0
62.0;6;21;14;0.16867469;0.16867469;0.56308293;0.56308293;0.4819984436035156;1358;0.16174369;0.16174369;14;0;0;0;0
62.0;20;9;38;0.45783132;0.8313253;0.33411172;0.43691704;0.2859992980957031;3876;0.4616484;0.8382563;38;0;0;0;0
62.0;5;9;31;0.37349397;0.8313253;0.102805324;0.43691704;0.08800125122070312;3162;0.3766079;0.8382563;31;0;0;0;0
63.0;5;9;5;0.13157895;0.13157895;0.15055342;0.15055342;0.08099746704101562;510;0.13742927;0.13742927;5;0;0;0;0
63.0;20;21;30;0.7894737;0.8684211;0.6914552;0.8494466;0.37200164794921875;2910;0.7841552;0.86257076;30;0;0;0;0
63.0;9;21;3;0.078947365;0.8684211;0.1579914;0.8494466;0.08499908447265625;291;0.07841552;0.86257076;3;0;0;0;0
64.0;9;21;28;0.26436782;0.33333334;0.33075577;0.5860738;0.233001708984375;2716;0.2827863;0.38955823;28;0;0;0;0
64.0;5;21;30;0.3505747;0.33333334;0.36846727;0.5860738;0.3730010986328125;2910;0.36463094;0.38955823;30;0;0;0;0
64.0;15;5;32;0.18390805;0.18390805;0.19052011;0.19052011;0.19699859619140625;2432;0.16839772;0.16839772;0;0;32;0;0
64.0;5;9;31;0.3505747;0.17816092;0.36846727;0.0077326624;0.00799560546875;2356;0.36463094;0.1631353;0;0;31;0;0
64.0;9;14;18;0.26436782;0.10344828;0.33075577;0.10541655;0.10900115966796875;1368;0.2827863;0.094723724;0;0;18;0;0
64.0;14;6;32;0.18390805;0.18390805;0.0058068754;0.0058068754;0.00600433349609375;2432;0.16839772;0.16839772;0;0;32;0;0
64.0;6;0;3;0.01724138;0.01724138;0.10444997;0.10444997;0.108001708984375;228;0.015787287;0.015787287;0;0;3;0;0
65.0;6;0;24;0.3809524;0.3809524;0.005514805;0.005514805;0.0070037841796875;1824;0.32271764;0.32271764;0;0;24;0;0
65.0;15;21;30;0.61904764;0.47619048;0.9944852;0.6889722;0.8749923706054688;2910;0.6772824;0.514862;30;0;0;0;0
65.0;15;5;9;0.61904764;0.14285715;0.9944852;0.305513;0.38800048828125;918;0.6772824;0.16242038;9;0;0;0;0
66.0;15;21;30;0.1754386;1.0;0.44608116;1.0;0.3350067138671875;2910;0.24384113;1.0;30;0;0;0;0
66.0;10;21;39;0.22807017;1.0;0.2649769;1.0;0.19899749755859375;2496;0.20915033;1.0;0;39;0;39;0
66.0;7;21;39;0.22807017;1.0;0.011977447;1.0;0.00899505615234375;2496;0.20915033;1.0;0;39;0;39;0
66.0;18;21;39;0.22807017;1.0;0.16511403;1.0;0.12400054931640625;2496;0.20915033;1.0;0;39;0;39;0
66.0;1;21;24;0.14035088;1.0;0.11185046;1.0;0.0839996337890625;1536;0.1287079;1.0;0;24;0;24;0
67.0;1;21;15;0.26785713;0.8035714;0.07498337;0.6957297;0.08600616455078125;960;0.1923077;0.77524036;0;15;0;39;0
67.0;6;21;30;0.53571427;0.8035714;0.6207463;0.6957297;0.7119979858398438;2910;0.5829327;0.77524036;30;0;0;0;0
67.0;15;5;11;0.19642857;0.19642857;0.30427033;0.30427033;0.3489990234375;1122;0.22475961;0.22475961;11;0;0;0;0
68.0;19;21;39;0.33050847;0.8220339;0.48899895;0.88753647;0.40000152587890625;2496;0.2780439;0.7613902;0;39;0;39;0
68.0;15;5;21;0.33898306;0.1779661;0.21637426;0.11246351;0.0919952392578125;2142;0.4439122;0.23860978;21;0;0;0;0
68.0;3;21;39;0.33050847;0.8220339;0.29462677;0.88753647;0.24100494384765625;2496;0.2780439;0.7613902;0;39;0;39;0
68.0;15;21;19;0.33898306;0.8220339;0.21637426;0.88753647;0.08499908447265625;1843;0.4439122;0.7613902;19;0;0;0;0
69.0;15;21;11;0.07857143;1.0;0.09155704;1.0;0.16699981689453125;1067;0.086797364;1.0;11;0;0;0;0
69.0;9;21;30;0.21428572;1.0;0.17160305;1.0;0.3130035400390625;2910;0.23672009;1.0;30;0;0;0;0
69.0;14;21;30;0.21428572;1.0;0.10142424;1.0;0.18499755859375;2910;0.23672009;1.0;30;0;0;0;0
69.0;5;21;30;0.21428572;1.0;0.13376974;1.0;0.24399566650390625;2910;0.23672009;1.0;30;0;0;0;0
